operator_name,total_cap_mw,num_states,sector_name,avg_capacity_factor_2024,capacity_factor_trend,market_share_pct
First State Marine Wind,2.0,1,Commercial NAICS Non-Cogen,0.14981785063752276,-0.1449795081967213,0.0016095818666052109
"631-56 Airport Owner, LLC",2.0,1,Industrial NAICS Non-Cogen,0.0,,0.0016095818666052109
"Hilltop Power, LLC",2.0,1,NAICS-22 Non-Cogen,0.23275273224043716,-0.019353369763205813,0.0016095818666052109
Tennessee Valley Authority,1.98,1,Electric Utility,0.0,0.0,0.0015934860479391584
Wind Stream Operations LLC,1.89,1,NAICS-22 Non-Cogen,inf,,0.0015210548639419243
"Wind GEM, LLC",1.85,1,NAICS-22 Non-Cogen,0.31549992615566386,0.0012307389356570053,0.0014888632266098199
Alaska Environmental Power,1.8,1,NAICS-22 Non-Cogen,0.2448264521351953,0.0013914187411455115,0.0014486236799446895
"CS Wind America, Inc.",1.8,1,Industrial NAICS Non-Cogen,0.17316838696620115,,0.0014486236799446895
"Roseman Energy, LLC",1.79,1,NAICS-22 Non-Cogen,0.4603977775742589,0.009349146747260118,0.0014405757706116636
Birch Power LLC,1.79,1,NAICS-22 Non-Cogen,0.43565751849477463,0.00038159782641877804,0.0014405757706116636
"Green Energy Machine, LLC",1.79,1,NAICS-22 Non-Cogen,0.4264991706607239,0.060101657660957986,0.0014405757706116636
"August Wind Energy, LLC",1.79,1,NAICS-22 Non-Cogen,0.4110444586907633,-0.03205421741917758,0.0014405757706116636
Seward Wind LLC,1.7,1,NAICS-22 Non-Cogen,0.48771831136826316,-0.03241187185256622,0.001368144586614429
"Foundation CA Fund IX Manager, LLC",1.7,1,NAICS-22 Non-Cogen,0.37554912675452695,0.03207703846565946,0.001368144586614429
"CCC Hastings Renewable Energy, LLC",1.7,1,NAICS-22 Non-Cogen,0.4444578377799207,-0.08397621343619416,0.001368144586614429
"Sky Volt, LLC",1.68,1,NAICS-22 Non-Cogen,0.34546036082921333,-0.02744437939110067,0.001352048767948377
University of Minnesota WCROC,1.65,1,NAICS-22 Non-Cogen,0.27653585030634215,-0.042915493735165844,0.0013279050399492987
Illinois Rural Electric Coop,1.65,1,Electric Utility,0.02345863001600707,-0.14323563503891373,0.0013279050399492987
